date,year,plot_number,MAFA_removal,cover_type,cover_percent,notes
9/7/17,2017,1,none,MAFA_alive,75,
9/7/17,2017,2,full,MAFA_alive,12,resprouts from cut stems of MAFA
9/7/17,2017,3,full,MAFA_alive,20,resprouts from cut stems of MAFA
9/7/17,2017,4,half,MAFA_alive,20,
9/7/17,2017,5,half,MAFA_alive,31,resprouts from cut stems of MAFA
9/7/17,2017,6,none,MAFA_alive,60,
9/7/17,2017,7,none,MAFA_alive,30,
9/7/17,2017,8,half,MAFA_alive,14,
9/7/17,2017,9,full,MAFA_alive,34,resprouts from cut stems of MAFA
9/7/17,2017,10,half,MAFA_alive,32,
9/11/17,2017,11,none,MAFA_alive,20,
9/7/17,2017,12,full,MAFA_alive,33,resprouts from cut stems of MAFA
9/11/17,2017,13,full,MAFA_alive,10,
9/11/17,2017,14,none,MAFA_alive,29,
9/11/17,2017,15,half,MAFA_alive,30,resprouts from cut stems of MAFA
9/7/17,2017,16,full,MAFA_alive,20,
9/11/17,2017,17,half,MAFA_alive,36,resprouts from cut stems of MAFA
9/11/17,2017,18,none,MAFA_alive,34,
8/24/17,2017,19,full,MAFA_alive,6,
8/24/17,2017,20,none,MAFA_alive,25,
8/24/17,2017,21,half,MAFA_alive,32,
8/25/17,2017,22,full,MAFA_alive,30,
8/24/17,2017,28,half,MAFA_alive,1,
8/25/17,2017,24,none,MAFA_alive,52,
8/24/17,2017,25,none,MAFA_alive,36,
8/24/17,2017,26,half,MAFA_alive,11,11% alive MAFA and 4% dead MAFA
8/24/17,2017,27,full,MAFA_alive,11.5,3 seedlings
8/24/17,2017,29,none,MAFA_alive,17,
8/25/17,2017,30,full,MAFA_alive,20,resprouts from cut stems of MAFA
8/7/17,2017,31,none,MAFA_alive,20.5,
8/25/17,2017,32,half,MAFA_alive,27,
8/25/17,2017,33,full,MAFA_alive,5,resprouts from cut stems of MAFA
8/7/17,2017,34,half,MAFA_alive,17,
8/25/17,2017,35,full,MAFA_alive,4.5,resprouts from cut stems of MAFA
8/25/17,2017,36,none,MAFA_alive,18,
6/12/19,2019,1,none,MAFA_alive,70,
5/15/19,2019,2,full,MAFA_alive,25,
5/15/19,2019,3,full,MAFA_alive,23,
6/12/19,2019,4,half,MAFA_alive,43,
5/15/19,2019,5,half,MAFA_alive,35,
6/12/19,2019,6,none,MAFA_alive,73,
6/12/19,2019,7,none,MAFA_alive,60,
6/12/19,2019,8,half,MAFA_alive,25,
6/12/19,2019,9,full,MAFA_alive,38,
6/12/19,2019,10,half,MAFA_alive,40,
6/12/19,2019,11,none,MAFA_alive,40,
6/12/19,2019,12,full,MAFA_alive,40,
6/12/19,2019,13,full,MAFA_alive,1,
6/12/19,2019,14,none,MAFA_alive,40,
6/12/19,2019,15,half,MAFA_alive,45,
6/12/19,2019,16,full,MAFA_alive,35,
6/12/19,2019,17,half,MAFA_alive,60,
6/12/19,2019,18,none,MAFA_alive,45,
6/12/19,2019,19,full,MAFA_alive,0,
6/12/19,2019,20,none,MAFA_alive,42,
6/12/19,2019,21,half,MAFA_alive,65,
6/12/19,2019,22,full,MAFA_alive,5,
6/12/19,2019,23,half,MAFA_alive,35,
6/12/19,2019,24,none,MAFA_alive,55,Shane: 55%
6/12/19,2019,25,none,MAFA_alive,10,
6/12/19,2019,26,half,MAFA_alive,16,
5/4/18,2018,27,full,MAFA_alive,2.25,left half of plot was unweeded = 0%.  Right half was weeded = 4.5%. 1% = 10 x 20
6/12/19,2019,27,full,MAFA_alive,3,
6/12/19,2019,28,half,MAFA_alive,0,
6/12/19,2019,29,none,MAFA_alive,15,
6/12/19,2019,30,full,MAFA_alive,3,
6/12/19,2019,31,none,MAFA_alive,30,
6/12/19,2019,32,half,MAFA_alive,20,
6/12/19,2019,33,full,MAFA_alive,0,
6/12/19,2019,34,half,MAFA_alive,15,
6/12/19,2019,35,full,MAFA_alive,15,
6/12/19,2019,36,none,MAFA_alive,0,
8/24/17,2017,23,half,MAFA_alive,35,
6/4/18,2018,3,full,MAFA_alive,9,cut and regrowing
6/4/18,2018,4,half,MAFA_alive,23,
6/4/18,2018,7,none,MAFA_alive,28,
5/26/18,2018,1,none,MAFA_alive,42,
5/26/18,2018,2,full,MAFA_alive,10,
5/26/18,2018,5,half,MAFA_alive,12,
5/26/18,2018,10,half,MAFA_alive,27,
5/26/18,2018,9,full,MAFA_alive,15,
5/26/18,2018,11,no,MAFA_alive,23,
5/26/18,2018,6,no,MAFA_alive,35,
5/26/18,2018,16,full,MAFA_alive,6,
5/26/18,2018,15,half,MAFA_alive,23,
5/26/18,2018,13,full,MAFA_alive,3.5,
5/26/18,2018,18,no,MAFA_alive,41,
5/26/18,2018,17,half,MAFA_alive,32,
5/26/18,2018,14,no,MAFA_alive,35,
5/26/18,2018,12,full,MAFA_alive,28,
5/26/18,2018,8,half,MAFA_alive,17,
5/4/18,2018,29,no,MAFA_alive,13.5,left half of plot was unweeded = 18%. 1% = 10 x 20. Right half of the plot was weeded = 9%.
